00146906,開心狗寵物美容工坊,高雄市大樹區久堂路１５７號１樓,核准設立
00262904,羊咩咩寵物生活館,高雄市鳳山區文藝街170號1樓,核准設立
00460329,冠軍寵物美容百貨,高雄市鼓山區九如四路２００９號１樓,歇業／撤銷
00678121,仁德商店,基隆市仁愛區仁三路一二號,歇業／撤銷
01218364,頂邑寵物精品美容館,雲林縣斗六市仁愛里中華路392號,歇業／撤銷
01218364,頂邑寵物精品美容館,新北市三重區雙園街8號(1樓),遷他縣市
